행정구역,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~9세,2022년10월_남_10~19세,2022년10월_남_20~29세,2022년10월_남_30~39세,2022년10월_남_40~49세,2022년10월_남_50~59세,2022년10월_남_60~69세,2022년10월_남_70~79세,2022년10월_남_80~89세,2022년10월_남_90~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~9세,2022년10월_여_10~19세,2022년10월_여_20~29세,2022년10월_여_30~39세,2022년10월_여_40~49세,2022년10월_여_50~59세,2022년10월_여_60~69세,2022년10월_여_70~79세,2022년10월_여_80~89세,2022년10월_여_90~99세,2022년10월_여_100세 이상
경기도 안성시 서운면(4155033000),1701 ,1701 ,38 ,68 ,170 ,123 ,180 ,342 ,419 ,228 ,125 ,8 ,0 ,1515 ,1515 ,38 ,57 ,87 ,83 ,128 ,258 ,378 ,222 ,223 ,40 ,1 
경기도 안성시 미양면(4155034000),3154 ,3154 ,94 ,141 ,310 ,331 ,424 ,579 ,724 ,366 ,167 ,17 ,1 ,2617 ,2617 ,87 ,115 ,190 ,183 ,274 ,448 ,607 ,363 ,290 ,58 ,2 
경기도 안성시 대덕면(4155035000),8788 ,8788 ,629 ,582 ,1234 ,1388 ,1659 ,1438 ,1149 ,492 ,203 ,14 ,0 ,6742 ,6742 ,528 ,533 ,924 ,910 ,1052 ,995 ,976 ,488 ,284 ,50 ,2 
경기도 안성시 양성면(4155036000),2702 ,2702 ,61 ,119 ,231 ,213 ,315 ,536 ,701 ,333 ,163 ,30 ,0 ,2450 ,2450 ,50 ,126 ,176 ,161 ,198 ,425 ,589 ,329 ,302 ,88 ,6 
경기도 안성시 원곡면(4155038000),3687 ,3687 ,196 ,216 ,447 ,544 ,609 ,682 ,624 ,264 ,91 ,14 ,0 ,2937 ,2937 ,164 ,181 ,323 ,357 ,376 ,566 ,519 ,242 ,175 ,34 ,0 
경기도 안성시 일죽면(4155039000),3904 ,3904 ,128 ,248 ,342 ,338 ,469 ,701 ,904 ,536 ,217 ,19 ,2 ,3530 ,3530 ,114 ,193 ,284 ,220 ,317 ,574 ,884 ,490 ,382 ,69 ,3 
경기도 안성시 죽산면(4155040000),3735 ,3735 ,106 ,253 ,398 ,320 ,429 ,782 ,828 ,391 ,216 ,12 ,0 ,3265 ,3265 ,103 ,250 ,293 ,201 ,319 ,567 ,702 ,444 ,342 ,42 ,2 
경기도 안성시 삼죽면(4155041000),1957 ,1957 ,31 ,163 ,282 ,153 ,197 ,341 ,415 ,241 ,122 ,12 ,0 ,1921 ,1921 ,38 ,209 ,291 ,84 ,134 ,298 ,402 ,243 ,189 ,32 ,1 
경기도 안성시 고삼면(4155042000),1017 ,1017 ,25 ,38 ,107 ,90 ,101 ,194 ,262 ,124 ,69 ,7 ,0 ,896 ,896 ,24 ,31 ,64 ,56 ,64 ,163 ,231 ,130 ,104 ,26 ,3 
경기도 안성시 안성1동(4155051000),6066 ,6066 ,285 ,476 ,838 ,690 ,851 ,1100 ,1029 ,527 ,255 ,15 ,0 ,6044 ,6044 ,327 ,475 ,687 ,574 ,758 ,1062 ,1049 ,625 ,413 ,71 ,3 
경기도 안성시 안성2동(4155052000),13338 ,13338 ,1102 ,1355 ,2131 ,1960 ,2245 ,2107 ,1574 ,632 ,213 ,19 ,0 ,12815 ,12815 ,961 ,1283 ,1783 ,1696 ,2071 ,2112 ,1580 ,794 ,469 ,65 ,1 
경기도 안성시 안성3동(4155053000),11156 ,11156 ,834 ,1253 ,1758 ,1340 ,1709 ,1974 ,1392 ,617 ,258 ,21 ,0 ,11035 ,11035 ,809 ,1140 ,1383 ,1175 ,1728 ,2009 ,1463 ,779 ,484 ,64 ,1 
경기도 김포시 (4157000000),241884 ,241884 ,25486 ,26136 ,25945 ,34591 ,48106 ,35944 ,27294 ,13143 ,4800 ,428 ,11 ,242187 ,242187 ,24367 ,25212 ,24662 ,36228 ,45113 ,34355 ,28445 ,14820 ,7614 ,1337 ,34 
